x_coord,y_cord
699,280
778,283
711,287
699,291
754,298
791,301
766,304
776,306
806,307
785,308
797,308
826,308
755,309
872,311
864,314
773,315
730,318
744,318
756,320
869,325
828,327
768,328
841,328
881,330
751,332
760,339
769,340
850,344
765,351
840,351
704,360
802,362
748,364
888,366
722,367
985,369
787,372
758,373
800,373
1021,379
736,382
799,385
816,386
722,387
788,394
824,397
665,398
810,398
870,398
708,400
826,404
696,406
723,406
790,406
764,408
670,409
929,409
941,409
773,410
709,411
806,411
915,411
872,415
962,415
941,417
791,420
757,423
871,426
650,428
922,428
768,429
962,432
655,435
903,435
971,435
816,436
940,436
884,437
1006,438
668,442
729,443
896,445
911,446
546,447
557,448
899,453
737,454
632,457
768,458
545,460
559,460
598,462
572,463
747,463
692,467
973,468
643,469
986,470
663,471
894,472
568,473
905,473
785,477
640,484
664,484
907,492
786,493
610,495
832,497
605,503
784,503
709,504
658,506
860,507
634,508
743,509
872,509
948,509
688,514
699,514
724,515
710,519
875,519
829,520
637,523
815,523
735,524
796,526
722,527
924,529
618,533
653,535
640,536
956,540
792,541
739,547
634,550
902,552
997,553
695,558
772,558
812,559
981,559
745,564
544,565
740,568
634,569
938,569
959,571
712,572
725,579
738,583
625,597
693,598
730,601
888,611
790,627
813,634
771,636
664,638
599,643
737,652
782,657
634,660
597,661
808,664
1059,669
