x_coord,y_cord
240,4
1250,4
2018,4
2510,4
2945,4
3195,4
3390,4
87,7
328,7
1680,7
1809,7
1906,7
1956,7
2270,7
2460,7
2660,7
2817,7
7,9
1283,9
2305,9
2736,9
3142,9
2764,11
2790,11
658,14
1131,14
1773,14
1859,14
610,16
1471,19
1355,21
1521,21
3318,21
4062,21
846,23
881,23
1402,23
1835,23
2063,23
2557,23
2907,23
3504,23
4041,23
2227,26
2439,26
3903,28
2099,30
2503,30
3266,30
3989,30
634,33
996,33
3187,33
1055,35
1599,35
2015,35
3097,35
3808,35
4107,35
147,38
599,38
943,38
2724,38
209,40
1312,40
2358,40
2971,40
2657,42
83,45
1124,45
1654,45
344,47
1259,47
1904,47
3145,47
3235,47
3608,47
539,49
727,49
4131,49
4153,49
1854,54
2517,54
2916,54
2938,54
2710,57
2793,57
4,59
639,59
4191,61
1763,64
2113,66
4131,66
1029,68
1074,68
3031,68
3775,68
1687,71
2840,71
2883,71
4058,71
4212,71
4236,71
1126,73
1958,73
2032,73
2063,73
2672,73
3223,76
3323,76
211,78
3722,78
2477,80
2584,80
3190,80
4169,80
1416,83
3656,83
164,85
413,85
698,85
1552,87
2160,87
1302,90
1894,90
3466,90
1112,92
4252,92
3801,95
3268,97
3394,97
3924,97
900,99
1488,99
1844,99
2683,99
3071,99
3504,99
3642,99
442,102
2807,102
3019,102
3309,106
2738,109
2909,109
7,114
1074,114
2524,114
4005,114
4224,114
114,116
4043,116
349,118
2641,118
2460,121
3573,121
175,125
1328,125
3028,125
4141,125
789,128
2151,130
4193,130
4255,130
3211,133
3889,133
672,135
727,140
3387,142
582,144
2025,144
2279,147
3344,152
1540,154
3435,154
454,156
397,159
2952,159
853,161
3656,161
4074,161
1281,166
2890,166
3516,166
1352,168
2450,168
4169,168
4224,168
306,171
1828,171
2821,171
1007,173
2422,173
3946,173
2232,178
2046,183
3639,183
306,185
3199,185
1742,187
3000,187
2733,190
1067,192
1374,192
2132,192
2928,192
1402,194
492,197
3551,197
1164,199
3054,199
3385,199
1761,204
3594,204
4245,204
49,209
660,209
739,209
858,211
1262,211
183,213
306,213
950,213
2527,213
2579,213
1588,216
1695,216
539,218
4162,223
3746,225
1057,228
3076,228
3844,228
4034,228
1647,230
2206,237
1381,240
518,242
7,247
832,249
1949,249
3520,249
3435,251
4088,251
2500,254
4003,254
2277,256
3114,256
3047,259
3304,259
3382,261
197,263
2971,263
1295,266
337,268
2774,268
1842,270
3913,270
1069,273
2700,273
1352,275
3594,275
3102,278
104,280
608,282
1687,282
4160,282
3256,285
16,287
3456,287
3822,287
268,289
4210,289
1314,292
4119,294
2783,299
3639,299
1428,301
2496,301
2817,301
4017,304
1034,306
2550,306
2886,306
1133,308
3347,308
4074,313
2177,316
3042,318
175,320
1352,320
1592,320
3974,325
416,328
3732,328
670,330
1856,330
3097,330
3884,332
1271,335
2664,335
746,337
3539,337
3922,337
4041,337
3815,339
4100,339
2317,342
4169,342
2122,347
2246,349
2781,358
4029,358
1409,361
3278,361
1271,363
3606,363
4086,366
1996,368
706,370
2914,373
2607,380
3456,380
546,382
3499,382
889,385
2517,385
446,387
1671,387
2039,387
4136,387
3748,392
3908,392
1324,396
2367,401
2798,404
3054,404
259,406
2736,406
1859,408
2241,413
4207,423
3989,427
779,430
931,432
3844,434
1578,437
1927,437
2969,439
3021,439
2484,442
1288,444
2405,444
1207,449
1333,449
577,453
668,453
1221,456
33,463
2714,468
185,470
2241,472
2907,472
3518,472
4124,477
2439,482
2850,484
3787,484
827,499
1038,511
4055,513
4184,513
2234,515
2534,515
1851,520
1695,522
2983,522
625,525
2439,530
1336,532
2919,532
3088,532
2500,534
565,537
955,537
2422,537
2729,539
4124,541
235,544
52,549
2862,553
4236,553
3294,556
3782,556
523,570
1200,572
2519,572
3539,575
656,579
2546,579
2149,589
38,591
1611,591
3855,598
2073,603
1837,606
3268,606
734,613
2672,613
3218,627
572,634
1908,634
862,636
3076,644
2624,646
4245,651
1055,658
35,660
2443,660
2524,663
3546,670
3190,672
506,677
3304,677
3256,682
3960,684
4039,689
104,701
2905,701
3347,710
2686,720
1383,722
1526,724
3620,727
3668,727
3725,729
851,732
1761,734
3218,741
1314,746
178,748
580,748
3299,758
2997,760
2638,762
3432,762
2075,767
4126,767
87,777
658,784
917,791
1017,791
461,793
1366,812
2553,815
3278,824
2484,831
2624,846
3910,850
3435,855
4055,858
2722,872
3620,874
1428,884
2393,893
732,912
3299,912
1324,915
3095,931
442,934
1664,938
965,945
3171,948
2888,953
2486,957
3946,957
1459,960
2001,960
190,962
2248,967
546,969
2569,986
2137,1005
2403,1010
23,1014
3199,1017
4219,1024
720,1026
3520,1029
2032,1041
2662,1057
2790,1067
2622,1107
3549,1107
670,1126
1314,1126
1709,1129
2745,1148
3599,1181
1007,1188
867,1207
3264,1209
1678,1307
2374,1321
3932,1326
508,1340
1549,1347
2175,1357
4157,1357
2771,1397
2061,1483
3801,1490
3458,1533
4205,1872
3009,2101
